idx,hobby,fre,decrease,increase,nochange,
1,여행,933,85.1,3.4,11.5,
2,공연/예술/극장,932,83.3,3.5,13.2,
3,오프라인사교활동,962,81.5,6.3,12.2,
4,오프라인쇼핑,987,72.1,7.2,20.7,
5,외식,997,57,17.1,25.9,
6,종교활동,643,51.3,6.5,42.2,
7,운동,961,45.1,21.7,33.2,
8,대면학습,643,44.6,8.1,47.3,
9,수입노동,918,42.7,7,50.3,
10,온라인사교활동,925,41,28.5,30.5,
11,배달음식주문,971,14,58.3,27.7,
12,온라인쇼핑,986,12.7,63.2,24.1,
13,학습/공부,776,10.4,31.7,57.9,
14,직접요리,988,8.4,58.3,33.3,
15,미디어이용,989,4.8,70.3,24.9,
16,재택근무,671,4.5,31.9,63.6,
17,원격학습,661,3.5,47.2,49.3,
18,가사노동,958,2.5,55.7,41.8,

